"Date","IE","Chrome","Firefox","Safari","Android","Opera","Sony PS3","Maxthon","Chromium","Konqueror","360 Safe Browser","Mozilla","Iron","SeaMonkey","Pale Moon","AppleWebKit","RockMelt","BlackBerry","Camino","Other"
2008-07,77.84,0,18.43,2.76,0,0.85,0,0,0,0.01,0,0,0,0.02,0,0.02,0,0,0,0.07
2008-08,75.64,0,20.15,2.97,0,1.09,0,0,0,0.02,0,0,0,0.03,0,0.02,0,0,0,0.08
2008-09,68.94,0.75,26.24,2.96,0,1.01,0,0,0,0.01,0,0,0,0.02,0,0.01,0,0,0,0.06
2008-10,74.44,0.84,20.85,3.06,0,0.71,0,0,0,0.01,0,0,0,0.02,0,0.01,0,0,0,0.06
2008-11,74.16,0.76,21.26,2.76,0,0.95,0.01,0,0,0.01,0,0,0,0.02,0,0.01,0,0,0,0.06
2008-12,73.62,1.12,21.11,2.89,0,1,0.06,0,0,0.02,0,0.06,0,0.02,0,0.01,0,0,0,0.09
2009-01,73.64,1.52,20.73,2.87,0,0.93,0.06,0,0,0.04,0,0.09,0,0.02,0,0.01,0,0,0,0.08
2009-02,73.91,1.24,20.72,2.89,0,0.94,0.06,0,0,0.03,0,0.09,0,0.02,0,0.01,0,0,0,0.07
2009-03,73.07,1.59,21.06,3.05,0,0.94,0.07,0,0,0.02,0,0.09,0,0.02,0,0.01,0,0,0,0.07
2009-04,71.52,1.95,22.19,3.05,0,0.98,0.07,0,0,0.02,0,0.1,0,0.02,0,0.02,0,0,0,0.07
2009-05,71.75,2.35,21.5,3.12,0,0.89,0.08,0,0,0.02,0,0.19,0,0.02,0,0.01,0,0,0,0.07
2009-06,70.63,2.76,21.98,3.31,0,0.89,0.08,0,0,0.01,0,0.25,0,0.02,0,0.01,0,0,0,0.06
2009-07,70.62,2.92,21.86,3.23,0,0.86,0.1,0,0,0.1,0,0.15,0,0.02,0,0.09,0,0,0,0.05
2009-08,68.94,3.19,22.89,3.45,0,0.93,0.12,0,0,0.08,0,0.23,0,0.02,0,0.1,0,0,0,0.04
2009-09,69.13,3.44,22.22,3.75,0,1.04,0.1,0,0,0.05,0,0.18,0,0.01,0,0.03,0,0,0,0.04
2009-10,68.89,3.71,22.15,3.77,0,1.03,0.11,0,0,0.08,0,0.17,0,0.02,0,0.03,0,0,0,0.04
2009-11,68.12,4.04,22.07,4.03,0,1.12,0.12,0,0,0.14,0,0.28,0,0.02,0,0.03,0,0,0,0.03
2009-12,67.87,4.53,21.6,3.87,0,1.19,0.15,0.04,0,0.3,0,0.34,0,0.02,0,0.04,0,0,0.01,0.04
2010-01,67.27,5.41,20.9,3.85,0,1.3,0.14,0.07,0,0.67,0,0.26,0,0.02,0,0.02,0,0,0.02,0.04
2010-02,67.78,6.11,20.32,3.87,0,1.05,0.11,0.06,0,0.49,0,0.1,0,0.02,0,0.02,0,0,0.02,0.04
2010-03,66.75,6.88,20.45,4.06,0,1.1,0.1,0.06,0,0.4,0,0.1,0,0.02,0,0.01,0,0,0.02,0.04
2010-04,65.66,7.56,20.75,4.16,0,1.12,0.12,0.06,0,0.38,0,0.1,0,0.02,0,0.01,0,0,0.02,0.05
2010-05,64.93,8.16,20.8,4.23,0,1.28,0.12,0.05,0,0.23,0,0.09,0,0.02,0,0.01,0,0,0.02,0.06
2010-06,64.45,8.66,20.9,4.28,0,1.16,0.11,0.05,0,0.21,0,0.08,0,0.02,0,0.01,0,0,0.02,0.04
2010-07,64.15,8.99,20.73,4.29,0,1.28,0.13,0.05,0,0.21,0,0.07,0,0.03,0,0.01,0,0,0.02,0.04
2010-08,63.81,9.5,20.34,4.62,0,1.09,0.13,0.05,0,0.23,0,0.06,0,0.1,0,0.01,0,0,0.02,0.04
2010-09,63.71,9.83,19.8,4.94,0,1.17,0.11,0.05,0,0.26,0,0.06,0,0.02,0,0.01,0,0,0.02,0.02
2010-10,63.17,10.48,19.7,5.11,0,1.21,0.12,0.04,0,0.05,0,0.06,0,0.02,0,0.01,0,0,0.02,0.02
2010-11,62.55,11.02,19.43,5.23,0,1.17,0.11,0.04,0,0.33,0,0.05,0,0.02,0,0.01,0,0,0.02,0.02
2010-12,61.13,12.12,19.77,5.4,0,1.19,0.13,0.04,0,0.11,0,0.05,0,0.02,0,0.02,0,0,0.02,0.02
2011-01,60.64,12.7,19.54,5.79,0.01,1.01,0.12,0.03,0,0.03,0,0.05,0,0.03,0,0.01,0,0,0.02,0.02
2011-02,59.73,13.48,19.69,5.85,0.02,0.97,0.11,0.03,0,0,0,0.05,0,0.02,0,0.01,0,0,0.02,0.02
2011-03,58.22,14.39,20.15,5.98,0.02,0.99,0.11,0.04,0,0,0,0.04,0,0.02,0,0.01,0,0,0.02,0.02
2011-04,57.67,14.97,19.89,6.19,0.02,0.97,0.12,0.04,0.02,0,0,0.04,0,0.02,0,0.01,0.01,0,0.02,0.02
2011-05,57.46,15.47,19.26,6.48,0.02,0.95,0.13,0.03,0.06,0,0,0.02,0.03,0.01,0,0.01,0.03,0,0.02,0.02
2011-06,55.75,16.57,19.32,6.95,0.03,0.99,0.13,0.03,0.06,0,0,0.02,0.03,0.01,0,0.01,0.03,0,0.02,0.02
2011-07,54.85,17.2,19.43,7.1,0.04,1.01,0.14,0.04,0.07,0,0,0.02,0.03,0.01,0,0.01,0.02,0,0.02,0.02
2011-08,53.93,17.74,19.5,7.47,0.04,0.93,0.16,0.04,0.06,0,0,0.02,0.03,0.02,0,0.02,0.02,0,0.02,0.02
2011-09,53.53,18.29,18.92,7.9,0.04,0.94,0.14,0.04,0.07,0,0,0.02,0.04,0.02,0,0.02,0.02,0,0.01,0.02
2011-10,51.95,19.42,18.88,8.27,0.18,0.92,0.14,0.03,0.07,0,0,0.01,0.04,0.02,0,0.02,0.02,0,0.01,0.02
2011-11,51.23,20.32,18.28,8.68,0.21,0.89,0.13,0.03,0.07,0,0,0.01,0.04,0.02,0,0.02,0.03,0,0.01,0.02
2011-12,50.27,21.02,18.06,9.08,0.31,0.86,0.14,0.03,0.07,0,0,0.01,0.04,0.02,0,0.02,0.02,0.01,0.02,0.03
2012-01,49.93,21.62,17.26,9.56,0.39,0.84,0.13,0.04,0.07,0,0,0.01,0.04,0.02,0,0.02,0.02,0.01,0.02,0.03
2012-02,50.26,21.72,16.83,9.59,0.43,0.86,0.04,0.04,0.07,0,0,0.01,0.04,0.01,0,0.02,0.02,0.02,0.01,0.03
2012-03,48.65,22.7,17.18,9.79,0.45,0.88,0.05,0.04,0.07,0,0,0.01,0.05,0.01,0,0.02,0.02,0.02,0.01,0.03
