"Date","IE","Chrome","Firefox","Safari","Opera","Android","360 Safe Browser","Silk","Sony PS3","AOL","Mozilla","Maxthon","Chromium","SeaMonkey","Kindle","QQ Browser","Phantom","RockMelt","Camino","AppleWebKit","TheWorld","Tencent Traveler","Pale Moon","webOS Browser","Flock","Iron","Other"
2008-07,67.08,0,26.22,5.85,0.55,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.05,0,0,0,0,0,0,0.22
2008-08,67.25,0,26.59,5.32,0.54,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.03,0,0,0,0,0,0,0.21
2008-09,65.77,0.95,26.63,5.8,0.56,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.03,0,0,0,0,0,0,0.2
2008-10,66.91,0.91,25.64,5.85,0.42,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.03,0,0,0,0,0,0,0.18
2008-11,72.18,0.75,21.66,4.75,0.44,0,0,0,0.03,0,0,0,0,0.04,0,0,0,0,0,0.02,0,0,0,0,0.01,0,0.14
2008-12,76.08,0.88,17.89,4.16,0.37,0,0,0,0.09,0.26,0.09,0,0,0.03,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0.12
2009-01,73.55,1.04,19.39,4.61,0.38,0,0,0,0.13,0.53,0.18,0,0,0.03,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0.13
2009-02,70.63,1.22,21.69,4.99,0.41,0,0,0,0.13,0.54,0.19,0,0,0.03,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0.12
2009-03,65.78,1.5,25.28,5.76,0.46,0,0,0,0.18,0.59,0.21,0,0,0.04,0,0,0,0,0,0.03,0,0,0,0,0.02,0,0.14
2009-04,62.07,1.95,28.03,6.12,0.54,0,0,0,0.23,0.58,0.25,0,0,0.04,0,0,0,0,0,0.03,0,0,0,0,0.02,0,0.13
2009-05,63.44,2.16,26.77,5.81,0.5,0,0,0,0.22,0.52,0.36,0,0,0.04,0,0,0,0,0,0.02,0,0,0,0,0.03,0,0.12
2009-06,56.18,2.81,31.5,7.22,0.61,0,0,0,0.3,0.59,0.51,0,0,0.04,0,0,0,0,0,0.03,0,0,0,0,0.05,0,0.15
2009-07,56.19,3.06,31.17,7.47,0.65,0,0,0,0.37,0.57,0.32,0,0,0.04,0,0,0,0,0,0.03,0,0,0,0,0.03,0,0.1
2009-08,55.61,3.35,31.21,7.78,0.64,0,0,0,0.41,0.52,0.34,0,0,0.04,0,0,0,0,0,0.03,0,0,0,0,0.02,0,0.08
2009-09,54.94,3.65,31.58,7.79,0.72,0,0,0,0.32,0.49,0.37,0,0,0.04,0,0,0,0,0,0.03,0,0,0,0,0.01,0,0.07
2009-10,54.68,4.11,31.25,8.07,0.66,0,0,0,0.33,0.43,0.33,0,0,0.04,0,0,0,0,0,0.03,0,0,0,0,0.01,0,0.06
2009-11,53.3,4.47,31.46,8.69,0.71,0,0,0,0.36,0.41,0.47,0,0,0.03,0,0,0,0,0,0.04,0,0,0,0,0.02,0,0.06
2009-12,53.08,5.26,30.86,8.54,0.72,0,0,0,0.38,0.38,0.56,0.04,0,0.03,0,0,0,0,0.03,0.03,0,0,0,0,0.02,0,0.06
2010-01,52.5,5.89,30.33,9.12,0.68,0,0,0,0.38,0.36,0.47,0.06,0,0.03,0,0,0,0,0.04,0.03,0,0,0,0,0.03,0,0.06
2010-02,52.44,6.38,29.91,9.5,0.62,0,0,0,0.29,0.35,0.22,0.05,0,0.03,0,0,0,0,0.07,0.02,0,0,0,0,0.05,0,0.05
2010-03,53.6,6.97,28.9,8.92,0.6,0,0,0,0.26,0.32,0.21,0.05,0,0.03,0,0,0,0,0.04,0.02,0,0,0,0,0.04,0,0.05
2010-04,51.98,7.7,29.65,9.14,0.5,0,0,0,0.29,0.31,0.21,0.05,0,0.03,0,0,0,0,0.04,0.02,0,0,0,0,0.04,0,0.06
2010-05,51.88,8.06,29.31,9.11,0.6,0,0,0,0.31,0.29,0.21,0.04,0,0.03,0,0,0,0,0.04,0.01,0,0,0,0,0.04,0,0.07
2010-06,52.78,8.63,28.2,8.75,0.63,0,0,0,0.33,0.28,0.19,0.04,0,0.03,0,0,0,0,0.04,0.01,0,0,0,0,0.04,0,0.04
2010-07,53.53,8.93,27.28,8.63,0.65,0,0,0,0.32,0.27,0.17,0.04,0,0.03,0,0,0,0,0.04,0.01,0,0,0,0,0.04,0,0.04
2010-08,52.2,9.33,27.65,9.26,0.59,0,0,0,0.32,0.26,0.17,0.05,0,0.04,0,0,0,0,0.04,0.02,0,0,0,0,0.03,0,0.04
2010-09,51.38,9.61,27.53,9.98,0.59,0,0,0,0.31,0.24,0.15,0.05,0,0.03,0,0,0,0,0.04,0.02,0,0,0,0,0.03,0,0.04
2010-10,51.31,10.2,26.78,10.27,0.58,0,0,0,0.32,0.21,0.13,0.04,0,0.03,0,0,0,0,0.03,0.02,0,0,0,0,0.04,0,0.03
2010-11,50.24,10.89,26.75,10.71,0.58,0,0,0,0.31,0.2,0.13,0.04,0,0.03,0,0,0,0,0.03,0.02,0,0,0,0,0.04,0,0.03
2010-12,48.27,12.44,26.93,10.95,0.57,0,0,0,0.34,0.18,0.12,0.04,0,0.03,0,0,0,0,0.03,0.02,0,0,0,0,0.03,0,0.03
2011-01,48.38,12.67,26.38,11.25,0.53,0,0,0,0.33,0.17,0.11,0.04,0,0.03,0,0,0,0,0.03,0.02,0,0,0,0,0.02,0,0.03
2011-02,47.37,13.43,26.51,11.43,0.52,0.01,0,0,0.31,0.16,0.1,0.04,0,0.03,0,0,0,0,0.03,0.02,0,0,0,0,0.02,0,0.03
2011-03,47.64,14.01,25.99,11.14,0.52,0.01,0,0,0.31,0.14,0.09,0.04,0,0.03,0,0,0,0,0.03,0.02,0,0,0,0,0.02,0,0.02
2011-04,47.26,14.67,25.48,11.31,0.56,0.01,0,0,0.32,0.13,0.07,0.03,0.01,0.03,0,0,0,0.02,0.03,0.02,0,0,0,0,0.02,0,0.02
2011-05,47.09,15.05,25.08,11.47,0.53,0.02,0,0,0.38,0.05,0.06,0.03,0.05,0.03,0,0,0,0.04,0.03,0.02,0,0,0,0,0.02,0.01,0.03
2011-06,46.49,16.04,24.66,11.57,0.49,0.04,0,0,0.35,0.05,0.05,0.04,0.05,0.02,0,0,0,0.04,0.03,0.02,0,0,0,0,0.02,0.01,0.04
2011-07,44.64,17.08,24.78,12.17,0.53,0.07,0,0,0.37,0.05,0.04,0.04,0.05,0.02,0,0,0,0.04,0.03,0.02,0,0,0,0,0.02,0.01,0.04
2011-08,45.02,17.66,24.26,11.76,0.53,0.08,0,0,0.36,0.04,0.04,0.04,0.05,0.03,0,0,0,0.04,0.02,0.02,0,0,0,0,0.02,0.01,0.03
2011-09,45.33,17.94,23.81,11.68,0.53,0.09,0,0,0.31,0.03,0.03,0.04,0.05,0.03,0,0,0,0.04,0.02,0.02,0,0,0,0,0.01,0.01,0.03
2011-10,46.11,18.52,22.47,11.61,0.51,0.17,0,0,0.28,0.03,0.02,0.03,0.05,0.03,0,0,0,0.04,0.02,0.02,0,0,0,0.02,0.01,0.02,0.03
2011-11,50.66,17.3,20.09,10.76,0.43,0.18,0,0,0.24,0.02,0.02,0.03,0.05,0.03,0,0,0,0.03,0.02,0.02,0,0,0,0.04,0.01,0.02,0.04
2011-12,48.26,18.73,20.15,11.5,0.46,0.25,0,0,0.25,0.02,0.01,0.03,0.08,0.03,0.01,0,0,0.03,0.02,0.02,0,0,0,0.04,0.01,0.02,0.05
2012-01,46.56,19.23,20.18,12.6,0.47,0.35,0,0,0.25,0.02,0.01,0.03,0.06,0.02,0.02,0,0,0.03,0.02,0.02,0,0,0,0.05,0.01,0.02,0.05
2012-02,41.33,21.95,21.85,12.98,1.09,0.36,0,0,0.07,0.02,0.03,0.03,0.06,0.03,0.02,0,0,0.03,0.02,0.02,0,0,0,0.05,0.01,0.01,0.05
2012-03,41.74,21.85,21.47,13.29,0.64,0.38,0,0.15,0.12,0.02,0.02,0.04,0.06,0.03,0.02,0,0,0.03,0.02,0.02,0,0,0,0.04,0.01,0.02,0.05
