"Date","IE","Chrome","Firefox","Safari","Opera","Android","Maxthon","Yandex Browser","Sogou Explorer","360 Safe Browser","QQ Browser","Mozilla","UC Browser","Coc Coc","RockMelt","Windows Media Player","Chromium","TheWorld","Flock","Sony PS3","CoRom+","Tencent Traveler","Puffin","Pale Moon","Sleipnir","SeaMonkey","Other"
2008-07,78.73,0,18.4,0.87,1.93,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.01,0.05
2008-08,82.03,0,15.18,0.82,1.9,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.01,0.03
2008-09,81.01,0.98,15.16,0.73,2.05,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.01,0.03
2008-10,79.18,0.98,17.11,0.71,1.95,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0.04
2008-11,75.04,0.93,20.45,0.74,2.76,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.01,0.04
2008-12,74.03,1.25,21.12,0.75,2.54,0,0,0,0,0,0,0.05,0,0,0,0.19,0,0,0.01,0.01,0,0,0,0,0,0.01,0.04
2009-01,71.53,1.44,23.39,0.81,2.49,0,0,0,0,0,0,0.1,0,0,0,0.18,0,0,0.01,0.01,0,0,0,0,0,0.01,0.04
2009-02,71.45,1.52,23.63,0.74,2.36,0,0,0,0,0,0,0.1,0,0,0,0.15,0,0,0.01,0.01,0,0,0,0,0,0.01,0.04
2009-03,70.35,1.55,24.71,0.79,2.28,0,0,0,0,0,0,0.11,0,0,0,0.16,0,0,0,0.01,0,0,0,0,0,0.01,0.03
2009-04,72.12,1.73,22.93,0.79,2.15,0,0,0,0,0,0,0.11,0,0,0,0.12,0,0,0,0.01,0,0,0,0,0,0.01,0.03
2009-05,73.15,1.89,21.58,0.75,2.08,0,0,0,0,0,0,0.37,0,0,0,0.13,0,0,0.01,0.01,0,0,0,0,0.01,0.01,0.02
2009-06,71.65,2.18,22.52,0.85,2.04,0,0,0,0,0,0,0.54,0,0,0,0.13,0,0,0.01,0.01,0,0,0,0,0.03,0.01,0.03
2009-07,71.72,2.31,22.95,0.84,1.85,0,0,0,0,0,0,0.12,0,0,0,0.14,0,0,0.01,0.01,0,0,0,0,0.02,0.01,0.03
2009-08,69.33,2.74,24.79,0.94,1.88,0,0,0,0,0,0,0.17,0,0,0,0.09,0,0,0.01,0.01,0,0,0,0,0.02,0.01,0.03
2009-09,69.12,3.02,24.73,0.98,1.84,0,0,0,0,0,0,0.18,0,0,0,0.07,0,0,0,0.01,0,0,0,0,0.02,0.01,0.02
2009-10,67.83,3.4,25.77,0.98,1.72,0,0,0,0,0,0,0.18,0,0,0,0.07,0,0,0,0.01,0,0,0,0,0.01,0.01,0.02
2009-11,66.66,3.82,26.26,1.03,1.76,0,0,0,0,0,0,0.33,0,0,0,0.07,0,0,0.01,0.01,0,0,0,0,0.01,0.01,0.02
2009-12,65.56,4.35,25.89,1.03,1.78,0,0.67,0,0,0,0,0.58,0,0,0,0.06,0,0,0.01,0.01,0,0,0,0,0.01,0.01,0.04
2010-01,65.1,4.85,25.75,1.03,1.7,0,0.91,0,0,0,0,0.51,0,0,0,0.06,0,0,0.02,0.01,0,0,0,0,0.01,0.01,0.05
2010-02,64.14,5.67,26.34,1.14,1.59,0,0.82,0,0,0,0,0.12,0,0,0,0.06,0,0,0.04,0.01,0,0,0,0,0.01,0.01,0.04
2010-03,63.35,6.3,26.47,1.16,1.61,0,0.81,0,0,0,0,0.13,0,0,0,0.05,0,0,0.04,0.01,0,0,0,0,0,0.01,0.05
2010-04,61.99,7.12,27.22,1.17,1.42,0,0.7,0,0,0,0,0.12,0,0,0,0.04,0,0,0.04,0.02,0,0,0,0,0,0.01,0.14
2010-05,61.08,7.69,27.54,1.13,1.5,0,0.65,0,0,0,0,0.11,0,0,0,0.05,0,0,0.04,0.02,0,0,0,0,0,0.01,0.18
2010-06,60.33,8.31,27.89,1.12,1.48,0,0.59,0,0,0,0,0.1,0,0,0,0.05,0,0,0.04,0.02,0,0,0,0,0,0.01,0.06
2010-07,59.84,9.01,27.74,1.15,1.46,0,0.52,0,0,0,0,0.08,0,0,0,0.07,0,0,0.04,0.02,0,0,0,0,0,0.01,0.06
2010-08,57.76,10.11,28.72,1.23,1.45,0,0.48,0,0,0,0,0.07,0,0,0,0.06,0,0,0.04,0.02,0,0,0,0,0,0.01,0.06
2010-09,56.76,11.09,28.57,1.31,1.54,0,0.48,0,0,0,0,0.07,0,0,0,0.06,0,0,0.04,0.02,0,0,0,0,0,0.01,0.04
2010-10,55.88,11.9,28.75,1.3,1.51,0,0.43,0,0,0,0,0.06,0,0,0,0.05,0,0,0.05,0.02,0,0,0,0,0,0.01,0.04
2010-11,54.8,12.87,28.79,1.3,1.5,0,0.49,0,0,0,0,0.06,0,0,0,0.05,0,0,0.05,0.02,0,0,0,0,0,0.01,0.04
2010-12,54.11,14.26,28.21,1.29,1.51,0,0.41,0,0,0,0,0.05,0,0,0,0.06,0,0,0.04,0.01,0,0,0,0,0,0.01,0.03
2011-01,52.56,15.28,28.62,1.39,1.55,0.01,0.38,0,0,0,0,0.04,0,0,0,0.05,0,0,0.03,0.02,0,0,0,0,0,0.01,0.03
2011-02,51.99,16.22,28.2,1.4,1.56,0.03,0.4,0,0,0,0,0.04,0,0,0,0.06,0,0,0.03,0.02,0,0,0,0,0,0.01,0.03
2011-03,51.07,17.14,28.23,1.41,1.52,0.04,0.41,0,0,0,0,0.04,0,0,0,0.05,0,0,0.03,0.02,0,0,0,0,0,0.01,0.03
2011-04,50.07,17.9,28.42,1.43,1.51,0.05,0.41,0,0,0,0,0.04,0,0,0.02,0.04,0.01,0,0.03,0.02,0,0,0,0,0,0.01,0.03
2011-05,48.82,19.22,28.22,1.52,1.5,0.07,0.36,0,0,0,0,0.03,0,0,0.04,0.05,0.02,0,0.04,0.02,0,0,0,0,0,0.01,0.04
2011-06,48.27,20.23,27.73,1.62,1.43,0.09,0.37,0,0,0,0,0.04,0,0,0.04,0.05,0.02,0,0.04,0.02,0,0,0,0,0,0,0.04
2011-07,46.78,21.92,27.51,1.67,1.42,0.11,0.36,0,0,0,0,0.03,0,0,0.03,0.04,0.02,0,0.03,0.02,0,0,0,0,0,0,0.05
2011-08,45.39,23.32,27.27,1.76,1.55,0.12,0.35,0,0,0,0,0.03,0,0,0.03,0.03,0.02,0,0.03,0.02,0,0,0,0,0,0.01,0.05
2011-09,45.3,24.89,25.65,1.94,1.49,0.12,0.37,0,0,0,0,0.03,0,0,0.03,0.03,0.02,0,0.02,0.03,0,0,0,0,0,0.01,0.05
2011-10,43.72,26.94,24.88,2.14,1.52,0.18,0.37,0,0,0,0,0.02,0,0,0.04,0.03,0.03,0,0.02,0.03,0,0,0,0,0,0.01,0.05
2011-11,42.22,29.14,23.91,2.23,1.65,0.21,0.34,0,0,0,0,0.02,0,0,0.03,0.02,0.03,0.07,0.02,0.03,0,0,0,0,0,0.01,0.06
2011-12,39.3,31.98,23.77,2.25,1.94,0.24,0.21,0,0,0,0,0.02,0,0,0.03,0.02,0.03,0.06,0.03,0.03,0,0,0,0,0,0.01,0.06
2012-01,38.03,33.46,23.17,2.5,2.03,0.28,0.2,0,0,0,0,0.03,0,0,0.03,0.01,0.03,0.06,0.04,0.03,0,0,0,0,0,0.02,0.07
2012-02,37.21,34.49,23.02,2.52,1.86,0.31,0.21,0,0,0,0,0.02,0,0,0.04,0.01,0.03,0.06,0.06,0.01,0,0,0,0,0,0.04,0.08
2012-03,34.57,36.41,23.96,2.52,1.55,0.33,0.22,0,0,0,0,0.02,0,0,0.06,0.01,0.03,0.06,0.07,0.02,0,0,0,0,0,0.06,0.08
2012-04,33.9,36.5,24.14,2.73,1.61,0.35,0.25,0,0,0,0.02,0.02,0,0,0.09,0.01,0.03,0.06,0.07,0.03,0,0,0,0,0,0.06,0.09
2012-05,32.3,37.61,24.33,2.87,1.66,0.38,0.26,0,0,0.08,0.05,0.01,0,0,0.09,0.01,0.03,0.06,0.05,0.02,0,0,0,0,0,0.04,0.11
