"Date","IE","Chrome","Firefox","Safari","Opera","Android","360 Safe Browser","Silk","Sony PS3","AOL","Mozilla","Maxthon","Chromium","BlackBerry","SeaMonkey","RockMelt","Kindle","QQ Browser","AppleWebKit","Camino","Phantom","Pale Moon","TheWorld","webOS Browser","Tencent Traveler","Flock","Iron","Other"
2008-07,67.46,0,26.08,5.58,0.58,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.05,0,0,0,0,0,0,0,0,0.21
2008-08,67.34,0,26.65,5.14,0.57,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.03,0,0,0,0,0,0,0,0,0.2
2008-09,65.83,0.97,26.71,5.63,0.59,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.03,0,0,0,0,0,0,0,0,0.2
2008-10,66.92,0.93,25.83,5.61,0.47,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.03,0,0,0,0,0,0,0,0,0.18
2008-11,71.46,0.78,22.4,4.62,0.51,0,0,0,0.03,0,0,0,0,0,0.04,0,0,0,0.02,0,0,0,0,0,0,0.01,0,0.14
2008-12,74.91,0.93,18.99,4.12,0.43,0,0,0,0.09,0.23,0.09,0,0,0,0.03,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0.13
2009-01,72.42,1.1,20.52,4.55,0.45,0,0,0,0.13,0.46,0.17,0,0,0,0.03,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0.13
2009-02,69.7,1.29,22.68,4.87,0.48,0,0,0,0.13,0.47,0.18,0,0,0,0.03,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0.13
2009-03,65.4,1.56,25.85,5.55,0.53,0,0,0,0.18,0.5,0.2,0,0,0,0.04,0,0,0,0.03,0,0,0,0,0,0,0.02,0,0.14
2009-04,62.18,1.99,28.21,5.85,0.6,0,0,0,0.22,0.49,0.23,0,0,0,0.04,0,0,0,0.03,0,0,0,0,0,0,0.02,0,0.13
2009-05,63.33,2.26,27.1,5.54,0.57,0,0,0,0.21,0.44,0.35,0,0,0,0.03,0,0,0,0.02,0,0,0,0,0,0,0.03,0,0.12
2009-06,57.15,2.86,31.17,6.67,0.68,0,0,0,0.28,0.47,0.47,0,0,0,0.04,0,0,0,0.03,0,0,0,0,0,0,0.04,0,0.15
2009-07,57.12,3.1,30.89,6.89,0.71,0,0,0,0.34,0.46,0.28,0,0,0,0.04,0,0,0,0.03,0,0,0,0,0,0,0.03,0,0.1
2009-08,56.44,3.41,30.99,7.19,0.71,0,0,0,0.37,0.42,0.31,0,0,0,0.03,0,0,0,0.03,0,0,0,0,0,0,0.02,0,0.08
2009-09,55.9,3.68,31.23,7.23,0.78,0,0,0,0.3,0.39,0.34,0,0,0,0.04,0,0,0,0.03,0,0,0,0,0,0,0.01,0,0.07
2009-10,55.46,4.16,31,7.55,0.72,0,0,0,0.31,0.35,0.32,0,0,0,0.03,0,0,0,0.03,0,0,0,0,0,0,0.01,0,0.06
2009-11,54.13,4.55,31.19,8.09,0.78,0,0,0,0.33,0.33,0.45,0,0,0,0.03,0,0,0,0.03,0,0,0,0,0,0,0.01,0,0.06
2009-12,53.84,5.31,30.68,7.94,0.8,0,0,0,0.35,0.31,0.54,0.04,0,0,0.03,0,0,0,0.03,0.03,0,0,0,0,0,0.02,0,0.06
2010-01,53.5,5.92,30.02,8.47,0.75,0,0,0,0.36,0.29,0.44,0.06,0,0,0.03,0,0,0,0.03,0.04,0,0,0,0,0,0.03,0,0.06
2010-02,53.73,6.39,29.45,8.72,0.67,0,0,0,0.28,0.28,0.2,0.06,0,0,0.03,0,0,0,0.02,0.06,0,0,0,0,0,0.05,0,0.05
2010-03,54.54,6.96,28.63,8.29,0.66,0,0,0,0.25,0.26,0.19,0.05,0,0,0.03,0,0,0,0.02,0.04,0,0,0,0,0,0.04,0,0.05
2010-04,53.03,7.66,29.36,8.45,0.56,0,0,0,0.28,0.25,0.2,0.05,0,0,0.03,0,0,0,0.01,0.04,0,0,0,0,0,0.04,0,0.06
2010-05,52.9,8.08,29,8.4,0.66,0,0,0,0.29,0.23,0.19,0.05,0,0,0.03,0,0,0,0.01,0.04,0,0,0,0,0,0.04,0,0.08
2010-06,53.61,8.64,28.02,8.14,0.68,0,0,0,0.31,0.23,0.17,0.04,0,0,0.03,0,0,0,0.01,0.03,0,0,0,0,0,0.04,0,0.04
2010-07,54.04,9.03,27.27,8.07,0.7,0,0,0,0.3,0.22,0.16,0.04,0,0,0.03,0,0,0,0.01,0.03,0,0,0,0,0,0.04,0,0.04
2010-08,52.92,9.5,27.46,8.6,0.65,0,0,0,0.31,0.21,0.15,0.05,0,0,0.03,0,0,0,0.02,0.03,0,0,0,0,0,0.03,0,0.04
2010-09,52.3,9.87,27.21,9.16,0.66,0,0,0,0.29,0.19,0.13,0.05,0,0,0.03,0,0,0,0.02,0.03,0,0,0,0,0,0.03,0,0.04
2010-10,52.01,10.53,26.57,9.47,0.65,0,0,0,0.3,0.17,0.12,0.05,0,0,0.03,0,0,0,0.02,0.03,0,0,0,0,0,0.03,0,0.03
2010-11,51,11.3,26.47,9.84,0.65,0,0,0,0.29,0.15,0.12,0.04,0,0,0.03,0,0,0,0.02,0.03,0,0,0,0,0,0.03,0,0.03
2010-12,48.92,12.82,26.7,10.16,0.65,0,0,0,0.32,0.14,0.11,0.04,0,0,0.03,0,0,0,0.02,0.03,0,0,0,0,0,0.03,0,0.03
2011-01,48.96,13.15,26.14,10.42,0.6,0,0,0,0.32,0.14,0.1,0.04,0,0,0.03,0,0,0,0.02,0.03,0,0,0,0,0,0.02,0,0.03
2011-02,48.09,13.93,26.16,10.56,0.59,0.01,0,0,0.3,0.13,0.09,0.04,0,0,0.03,0,0,0,0.02,0.03,0,0,0,0,0,0.02,0,0.03
2011-03,48.15,14.57,25.72,10.33,0.59,0.01,0,0,0.29,0.11,0.08,0.04,0,0,0.03,0,0,0,0.02,0.03,0,0,0,0,0,0.02,0,0.02
