"Date","Chrome","IE","Firefox","Safari","Opera","Android","360 Safe Browser","Mozilla","Chromium","Maxthon","Sony PS3","RockMelt","Beamrise","Other"
2008-07,0,75.57,22.37,1.03,0.85,0,0,0,0,0,0,0,0,0.17
2008-08,0,75.55,22.5,0.96,0.85,0,0,0,0,0,0,0,0,0.14
2008-09,1.73,70.39,26.01,0.9,0.84,0,0,0,0,0,0,0,0,0.13
2008-10,1.65,71.99,24.89,0.62,0.76,0,0,0,0,0,0,0,0,0.1
2008-11,1.43,70.93,26.28,0.43,0.84,0,0,0,0,0,0,0,0,0.09
2008-12,1.97,68.84,27.81,0.45,0.82,0,0,0.04,0,0,0,0,0,0.08
2009-01,2.15,67.68,28.76,0.45,0.82,0,0,0.07,0,0,0.01,0,0,0.07
2009-02,2.31,67.18,29.09,0.48,0.8,0,0,0.07,0,0,0.01,0,0,0.07
2009-03,2.57,67.24,28.81,0.5,0.75,0,0,0.07,0,0,0,0,0,0.06
2009-04,3.04,66.73,28.92,0.46,0.7,0,0,0.08,0,0,0.01,0,0,0.06
2009-05,3.81,65.51,28.98,0.45,0.68,0,0,0.51,0,0,0.01,0,0,0.06
2009-06,4.12,65.06,28.82,0.5,0.67,0,0,0.76,0,0,0.01,0,0,0.07
2009-07,4.25,64.17,30.19,0.52,0.71,0,0,0.08,0,0,0.01,0,0,0.06
2009-08,4.64,62.32,31.58,0.55,0.73,0,0,0.1,0,0,0.01,0,0,0.06
2009-09,5.18,61.49,31.78,0.58,0.78,0,0,0.12,0,0,0.01,0,0,0.06
2009-10,5.98,59.86,32.43,0.59,0.8,0,0,0.27,0,0,0.01,0,0,0.06
2009-11,6.95,58.63,32.41,0.62,0.82,0,0,0.51,0,0,0.01,0,0,0.06
2009-12,8.77,56.81,32.35,0.62,0.76,0,0,0.62,0,0.02,0.01,0,0,0.05
2010-01,9.47,56.41,32.21,0.65,0.74,0,0,0.44,0,0.02,0.01,0,0,0.05
2010-02,10.17,55.48,32.77,0.72,0.72,0,0,0.06,0,0.02,0.01,0,0,0.05
2010-03,10.25,56.38,31.66,0.81,0.74,0,0,0.07,0,0.02,0.01,0,0,0.05
2010-04,10.75,56.37,31.11,0.8,0.67,0,0,0.07,0,0.02,0.01,0,0,0.19
2010-05,11.44,55.73,30.98,0.79,0.69,0,0,0.07,0,0.02,0.01,0,0,0.27
2010-06,12.38,55.15,30.86,0.8,0.66,0,0,0.06,0,0.02,0.01,0,0,0.05
2010-07,13.71,54.24,30.42,0.81,0.67,0,0,0.05,0,0.02,0.01,0,0,0.06
2010-08,15.25,53.16,29.97,0.84,0.64,0,0,0.06,0,0.02,0.01,0,0,0.05
2010-09,16.97,51.88,29.56,0.84,0.64,0,0,0.05,0,0.01,0.01,0,0,0.04
2010-10,18.29,50.87,29.24,0.85,0.65,0,0,0.04,0,0.02,0.02,0,0,0.04
2010-11,19.79,49.78,28.8,0.88,0.65,0,0,0.04,0,0.01,0.02,0,0,0.04
2010-12,21.69,48.49,28.18,0.88,0.66,0,0,0.03,0,0.01,0.02,0,0,0.03
2011-01,23.32,47.68,27.41,0.9,0.61,0,0,0.03,0,0.01,0.02,0,0,0.02
2011-02,24.24,47.57,26.62,0.92,0.56,0,0,0.03,0,0.01,0.01,0,0,0.03
2011-03,25,47.22,26.21,0.93,0.55,0,0,0.03,0,0.01,0.01,0,0,0.03
2011-04,26.22,46.33,25.88,0.92,0.54,0.01,0,0.02,0.01,0.01,0.01,0.01,0,0.03
2011-05,27.72,45.43,25.25,0.92,0.52,0.01,0,0.02,0.03,0.01,0.01,0.03,0,0.04
2011-06,29.72,44.09,24.62,0.92,0.5,0.01,0,0.02,0.03,0.01,0.01,0.03,0,0.04
2011-07,32.17,42.19,24.07,0.91,0.49,0.02,0,0.01,0.03,0.01,0.01,0.03,0,0.04
2011-08,33.41,41.55,23.46,0.93,0.49,0.02,0,0.01,0.04,0.01,0.01,0.03,0,0.04
2011-09,34.79,40.84,22.68,1.01,0.51,0.02,0,0.01,0.04,0.01,0.01,0.03,0,0.04
2011-10,38.87,36.92,22.34,1.11,0.55,0.04,0,0.01,0.05,0.02,0.02,0.03,0,0.04
2011-11,41.96,33.53,22.54,1.19,0.55,0.06,0,0.01,0.05,0.02,0.02,0.03,0,0.05
2011-12,42.37,32.94,22.61,1.26,0.56,0.08,0,0.01,0.06,0.02,0.02,0.03,0,0.06
2012-01,44.39,31.49,21.96,1.31,0.56,0.09,0,0.01,0.06,0.02,0.02,0.03,0,0.06
2012-02,46.06,30.67,20.95,1.46,0.56,0.11,0,0.01,0.06,0.02,0.01,0.03,0,0.06
2012-03,46.57,29.94,21.17,1.45,0.57,0.11,0,0.01,0.06,0.02,0.01,0.04,0,0.06
2012-04,48.18,28.6,20.82,1.49,0.58,0.12,0,0.01,0.06,0.02,0.02,0.04,0,0.06
2012-05,49.29,26.57,21.54,1.62,0.61,0.13,0,0.01,0.07,0.02,0.02,0.04,0,0.06
2012-06,50.11,26,21.15,1.65,0.66,0.15,0.01,0.01,0.07,0.03,0.02,0.05,0,0.11
2012-07,52.43,24.57,20.25,1.67,0.64,0.16,0.01,0.01,0.07,0.03,0.02,0.05,0,0.09
2012-08,52.78,24.26,20.1,1.74,0.65,0.19,0.01,0.01,0.07,0.04,0.03,0.05,0,0.09
2012-09,53.38,24.34,19.38,1.77,0.65,0.21,0,0.01,0.07,0.04,0.03,0.05,0,0.08
2012-10,54.48,23.31,19.2,1.84,0.66,0.22,0,0.01,0.07,0.04,0.03,0.05,0,0.07
2012-11,55.7,22.67,18.72,1.85,0.54,0.23,0.01,0.01,0.07,0.04,0.04,0.05,0,0.07
2012-12,58.16,20.55,18.21,1.96,0.5,0.3,0.01,0.01,0.08,0.05,0.04,0.05,0,0.08
2013-01,57.25,21.85,17.79,1.96,0.49,0.38,0.01,0.01,0.06,0.05,0.04,0.04,0,0.09
2013-02,58.22,20.47,17.95,2.14,0.51,0.43,0.02,0.01,0.05,0.06,0.03,0.04,0,0.1
2013-03,60.05,19.46,17.16,2.11,0.48,0.43,0.02,0.01,0.06,0.06,0.04,0.03,0,0.1
