"Date","Chrome","Firefox","IE","Opera","Safari","Android","UC Browser","Maxthon","Chromium","Mozilla","NetFront","RockMelt","360 Safe Browser","SeaMonkey","Flock","Other"
2008-07,0,26.07,67.83,5.48,0.53,0,0,0,0,0,0,0,0,0.02,0,0.08
2008-08,0,26.97,63.25,9.09,0.6,0,0,0,0,0,0,0,0,0.02,0,0.07
2008-09,2.48,26.95,61.99,7.92,0.58,0,0,0,0,0,0,0,0,0.02,0,0.06
2008-10,3.36,26.99,64.57,4.37,0.63,0,0,0,0,0,0,0,0,0.02,0,0.06
2008-11,3.21,28.21,62.54,5.28,0.67,0,0,0,0,0,0,0,0,0.02,0,0.07
2008-12,3.92,28.47,62.49,4.38,0.57,0,0,0,0,0.07,0,0,0,0.02,0.01,0.06
2009-01,4.12,29.34,62.26,3.52,0.55,0,0,0,0,0.12,0,0,0,0.02,0.01,0.07
2009-02,4.22,30.23,60.94,3.84,0.56,0,0,0,0,0.12,0,0,0,0.02,0.01,0.07
2009-03,4.69,30.65,60.19,3.65,0.6,0,0,0,0,0.12,0,0,0,0.02,0.01,0.07
2009-04,5.45,31.09,59.31,3.31,0.61,0,0,0,0,0.14,0,0,0,0.02,0.01,0.06
2009-05,6.44,29.98,58.81,3.36,0.58,0,0,0,0,0.73,0,0,0,0.02,0.01,0.05
2009-06,6.77,29.77,58.5,3.21,0.6,0,0,0,0,1.06,0,0,0,0.02,0.02,0.05
2009-07,7.05,30.22,58.74,3.14,0.6,0,0,0,0,0.16,0,0,0,0.02,0.01,0.06
2009-08,8.28,31.99,55.61,3.16,0.64,0,0,0,0,0.23,0,0,0,0.02,0.01,0.06
2009-09,8.84,32.61,54.37,3.11,0.69,0,0,0,0,0.29,0,0,0,0.02,0.01,0.05
2009-10,9.68,32.98,53.01,3.23,0.71,0,0,0,0,0.31,0,0,0,0.02,0.01,0.05
2009-11,10.41,32.28,52.73,3.12,0.73,0,0,0,0,0.65,0,0,0,0.02,0.01,0.06
2009-12,11.48,31.78,51.67,3.02,0.7,0,0,0.05,0,1.21,0,0,0,0.02,0.01,0.07
2010-01,12.68,31.6,50.94,2.92,0.73,0,0,0.06,0,0.95,0,0,0,0.02,0.02,0.08
2010-02,12.92,32,51.38,2.57,0.78,0,0,0.06,0,0.16,0,0,0,0.02,0.03,0.07
2010-03,13.52,31.71,51.08,2.56,0.78,0,0,0.05,0,0.19,0,0,0,0.02,0.03,0.06
2010-04,14.51,31.76,50.54,2.06,0.77,0,0,0.05,0,0.18,0,0,0,0.02,0.03,0.07
2010-05,15.36,32.1,49.12,2.38,0.71,0,0,0.05,0,0.17,0,0,0,0.02,0.03,0.08
2010-06,15.92,31.8,48.86,2.43,0.7,0,0,0.05,0,0.16,0,0,0,0.02,0.03,0.05
2010-07,16.87,32.3,47.33,2.49,0.73,0,0,0.05,0,0.12,0,0,0,0.02,0.03,0.07
2010-08,18.31,32.7,45.37,2.53,0.78,0,0,0.05,0,0.15,0,0,0,0.02,0.02,0.06
2010-09,19.83,33.01,43.5,2.59,0.82,0,0,0.04,0,0.13,0,0,0,0.02,0.02,0.04
2010-10,20.82,33.12,42.37,2.62,0.84,0,0,0.04,0,0.11,0,0,0,0.02,0.03,0.04
2010-11,21.88,32.82,41.57,2.66,0.86,0,0,0.04,0,0.08,0,0,0,0.01,0.04,0.04
2010-12,23.04,32.67,40.6,2.66,0.85,0,0,0.04,0,0.07,0,0,0,0.01,0.02,0.04
2011-01,24.39,32.6,39.25,2.7,0.88,0.01,0,0.04,0,0.06,0,0,0,0.01,0.02,0.03
2011-02,24.9,32.98,38.28,2.76,0.9,0.01,0,0.04,0,0.06,0,0,0,0.01,0.02,0.03
2011-03,25.56,33,37.6,2.75,0.91,0.02,0,0.05,0,0.06,0,0,0,0.01,0.02,0.03
2011-04,26.59,32.98,36.54,2.78,0.9,0.02,0,0.05,0.02,0.06,0,0.01,0,0.01,0.02,0.03
2011-05,27.4,32.53,36.13,2.75,0.91,0.03,0,0.05,0.05,0.05,0,0.03,0,0.01,0.03,0.04
2011-06,28.43,32.61,35.06,2.7,0.92,0.03,0,0.06,0.05,0.05,0,0.02,0,0.01,0.02,0.04
