"Date","Chrome","Opera","Firefox","IE","Safari","Yandex Browser","Android","Amigo","Maxthon","360 Safe Browser","Mozilla","Chromium","Pale Moon","Iron","Sogou Explorer","SeaMonkey","Comodo Dragon","Netscape","Other"
2008-07,0,25.21,17.28,56.82,0.64,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.04
2008-08,0,24.63,17.5,57.12,0.69,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.03
2008-09,0.73,35.06,17.16,46.63,0.34,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.02
2008-10,0.89,34.25,19.84,44.56,0.36,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.04
2008-11,0.64,35.38,20.99,42.52,0.36,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.06
2008-12,1.06,35.65,21.66,41.1,0.35,0,0,0,0,0,0.06,0,0,0,0,0.04,0,0,0.08
2009-01,1.31,39.06,21.91,36.93,0.49,0,0,0,0,0,0.15,0,0,0,0,0.04,0,0,0.12
2009-02,1.47,39.34,22.64,35.75,0.46,0,0,0,0,0,0.15,0,0,0,0,0.03,0,0,0.16
2009-03,1.43,39.62,22.79,35.24,0.59,0,0,0,0,0,0.17,0,0,0,0,0.04,0,0,0.11
2009-04,1.43,39.03,23.09,35.71,0.45,0,0,0,0,0,0.17,0,0,0,0,0.05,0,0,0.07
2009-05,1.57,40.69,23.24,33.5,0.44,0,0,0,0,0,0.48,0,0,0,0,0.04,0,0,0.04
2009-06,1.82,40.44,23.5,33.05,0.5,0,0,0,0,0,0.6,0,0,0,0,0.04,0,0,0.05
2009-07,1.87,39.26,24.26,33.83,0.46,0,0,0,0,0,0.22,0,0,0,0,0.04,0,0,0.06
2009-08,2.11,40.42,25.63,30.92,0.55,0,0,0,0,0,0.28,0,0,0,0,0.03,0,0.01,0.05
2009-09,2.38,38.53,25.89,32.29,0.56,0,0,0,0,0,0.28,0,0,0,0,0.02,0,0.01,0.05
2009-10,3.09,29.81,27.7,38.21,0.82,0,0,0,0,0,0.29,0,0,0,0,0.01,0,0.01,0.06
2009-11,3.18,30.44,27.52,37.67,0.79,0,0,0,0,0,0.32,0,0,0,0,0.02,0,0,0.06
2009-12,3.34,31.37,29.66,33.79,0.92,0,0,0,0.32,0,0.47,0,0,0,0,0.03,0,0,0.11
2010-01,3.58,32.28,29.42,33.02,0.85,0,0,0,0.36,0,0.3,0,0,0,0,0.03,0,0,0.17
2010-02,4.52,30.82,29.82,33.34,0.93,0,0,0,0.28,0,0.14,0,0,0,0,0.02,0,0,0.13
2010-03,5.16,32.52,29.69,31.18,0.85,0,0,0,0.3,0,0.16,0,0,0,0,0.02,0,0,0.12
2010-04,6.4,31.32,31.78,28.97,0.88,0,0,0,0.23,0,0.14,0,0,0,0,0.02,0,0,0.26
2010-05,6.18,33.2,31.6,27.42,0.93,0,0,0,0.21,0,0.17,0,0,0,0,0.01,0,0,0.28
2010-06,6.34,28.62,27.78,35.74,0.97,0,0,0,0.22,0,0.15,0,0,0,0,0.02,0,0,0.17
2010-07,6.97,34.3,31.47,25.51,1.16,0,0,0,0.24,0,0.18,0,0,0,0,0.01,0,0,0.16
2010-08,7.76,31.16,32.35,26.96,1.22,0,0,0,0.2,0,0.2,0,0,0,0,0.02,0,0,0.13
2010-09,8.18,31.9,31.34,27.01,1.04,0,0,0,0.25,0,0.19,0,0,0,0,0.02,0,0,0.07
2010-10,8.93,33.03,31.11,25.47,1.09,0,0,0,0.2,0,0.1,0,0,0,0,0.01,0,0,0.05
2010-11,9.24,34.44,30.35,24.49,1.1,0,0,0,0.19,0,0.11,0,0,0,0,0.01,0,0,0.05
2010-12,9.85,34.86,29.94,23.94,1.1,0,0,0,0.17,0,0.08,0,0,0,0,0.01,0,0,0.04
2011-01,10.98,34.53,31.1,21.91,1.17,0,0.01,0,0.18,0,0.08,0,0,0,0,0.01,0,0,0.04
2011-02,12.24,32.5,32.1,21.67,1.17,0,0.01,0,0.16,0,0.1,0,0,0,0,0.01,0,0,0.04
2011-03,13.44,33.05,31.51,20.51,1.2,0,0.01,0,0.16,0,0.07,0,0,0,0,0.01,0,0,0.03
2011-04,14.52,32,31.13,20.77,1.32,0,0.02,0,0.13,0,0.07,0.01,0,0,0,0.01,0,0,0.03
2011-05,15.79,31.51,31.88,18.84,1.56,0,0.02,0,0.14,0,0.05,0.03,0,0.09,0,0.02,0.04,0,0.03
2011-06,15.55,31.79,31.17,19.81,1.37,0,0.02,0,0.11,0,0.05,0.02,0,0.06,0,0.01,0.02,0,0.03
2011-07,17.06,30.88,30.51,19.74,1.48,0,0.02,0,0.13,0,0.03,0.03,0,0.03,0,0.01,0.03,0,0.05
