"Date","IE","Chrome","Firefox","Safari","Opera","Android","Maxthon","Sony PS3","Chromium","Mozilla","Sogou Explorer","SeaMonkey","QQ Browser","360 Safe Browser","RockMelt","Puffin","Pale Moon","Camino","AppleWebKit","Silk","Iron","Sony PS4","Flock","Other"
2008-07,64.78,0,28.44,4.77,1.8,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.02,0,0,0,0,0.16
2008-08,62.44,0,30.96,4.85,1.51,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.01,0,0,0,0,0.17
2008-09,62.26,1.4,29.81,4.82,1.45,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0.02,0,0,0,0,0.16
2008-10,60.53,1.48,31.45,4.77,1.46,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.02,0,0,0,0,0.24
2008-11,59.81,1.28,32.11,5.15,1.4,0,0,0.02,0,0,0,0.04,0,0,0,0,0,0,0.02,0,0,0,0.01,0.18
2008-12,59.35,1.9,31.97,4.74,1.49,0,0,0.06,0,0.12,0,0.05,0,0,0,0,0,0,0.03,0,0,0,0.03,0.25
2009-01,57.22,2.33,33.3,4.85,1.54,0,0,0.1,0,0.35,0,0.05,0,0,0,0,0,0,0.02,0,0,0,0.03,0.22
2009-02,57.17,2.54,33.14,5.08,1.33,0,0,0.09,0,0.37,0,0.04,0,0,0,0,0,0,0.03,0,0,0,0.03,0.18
2009-03,57.84,2.67,32.24,5.37,1.25,0,0,0.09,0,0.29,0,0.04,0,0,0,0,0,0,0.03,0,0,0,0.03,0.16
2009-04,57.22,3.04,32.47,5.59,1.17,0,0,0.11,0,0.18,0,0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,0.14
2009-05,56.86,3.97,31.73,5.61,1.15,0,0,0.12,0,0.36,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0.03,0.14
2009-06,53.3,5.87,32.26,6.42,1.37,0,0,0.09,0,0.49,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0.03,0.12
2009-07,55.41,4.85,32.07,5.96,1.11,0,0,0.13,0,0.28,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0.03,0.13
2009-08,53.96,4.99,32.89,6.41,1.17,0,0,0.12,0,0.28,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0.02,0.11
2009-09,53.27,5.75,32.47,6.66,1.22,0,0,0.16,0,0.32,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0.02,0.09
2009-10,52.18,6.45,32.76,6.76,1.19,0,0,0.15,0,0.34,0,0.04,0,0,0,0,0,0,0.02,0,0,0,0.01,0.09
2009-11,51.51,6.74,32.83,6.89,1.27,0,0,0.15,0,0.45,0,0.05,0,0,0,0,0,0,0.02,0,0,0,0.01,0.07
2009-12,49.77,7.81,33.33,6.7,1.31,0,0.14,0.17,0,0.6,0,0.04,0,0,0,0,0,0.03,0.02,0,0,0,0.01,0.07
2010-01,49.46,8.54,32.59,6.89,1.34,0,0.41,0.17,0,0.42,0,0.04,0,0,0,0,0,0.05,0.02,0,0,0,0.02,0.07
2010-02,49.82,9.26,31.58,7.26,1.23,0,0.37,0.13,0,0.17,0,0.03,0,0,0,0,0,0.04,0.01,0,0,0,0.04,0.06
2010-03,49.68,9.65,30.9,7.54,1.36,0,0.32,0.13,0,0.22,0,0.03,0,0,0,0,0,0.05,0.01,0,0,0,0.04,0.06
2010-04,49.73,10.38,30.65,7.37,1.02,0,0.3,0.15,0,0.2,0,0.03,0,0,0,0,0,0.04,0.01,0,0,0,0.03,0.07
