"Date","IE","Firefox","Chrome","Safari","Iceweasel","Opera","Chromium","Android","Mozilla","Maxthon","AppleWebKit","Other"
2008-07,78.26,20.55,0,0.79,0,0.4,0,0,0,0,0,0
2008-08,56.97,41.98,0,0.9,0,0.15,0,0,0,0,0,0
2008-09,78.13,18.06,3.46,0.21,0,0.14,0,0,0,0,0,0
2008-10,69.16,29.45,0.46,0.93,0,0,0,0,0,0,0,0
2008-11,64.63,34.2,0.14,1.02,0,0,0,0,0,0,0,0
2008-12,58.78,38.96,0.25,1.82,0,0.05,0,0,0,0,0,0.15
2009-01,66.74,30.11,0.27,2.62,0,0,0,0,0.08,0,0,0.19
2009-02,52.18,45.01,0.78,1.95,0,0.08,0,0,0,0,0,0
2009-03,60.82,33.29,2.82,2.96,0,0.11,0,0,0,0,0,0
2009-04,59.74,36.57,1.7,1.26,0,0.37,0,0,0.03,0,0,0.34
2009-05,64.24,33.04,1.2,1.06,0,0.46,0,0,0,0,0,0
2009-06,67.18,30.43,1.37,0.73,0,0.28,0,0,0.02,0,0,0
2009-07,58.46,38.01,1.24,0.88,0,1.4,0,0,0,0,0,0.01
2009-08,67.73,28.66,1.58,0.69,0,1.34,0,0,0,0,0,0
2009-09,61.78,33.2,3.37,0.74,0,0.9,0,0,0.01,0,0,0
2009-10,52.63,33.36,2.67,8.53,0,2.76,0,0,0.03,0,0,0.01
2009-11,46.77,41.43,3.02,1.7,0,7.04,0,0,0.03,0,0,0
2009-12,42.12,53.45,2.31,1.82,0,0.28,0,0,0.01,0,0,0.01
2010-01,58.55,33.47,3.39,2.8,0,1.78,0,0,0.02,0,0,0
2010-02,56.24,37.26,4.01,2.34,0,0.11,0,0,0,0,0.05,0
2010-03,65.42,28.41,4.33,1.48,0,0.35,0,0,0,0,0.01,0
2010-04,69.22,24.71,5.14,0.83,0,0.04,0,0,0,0.03,0.02,0
2010-05,65.92,26.61,4.72,1.17,0,0.23,0,0,1.29,0.04,0.02,0
2010-06,67.89,23.3,5.62,0.96,0,0.08,0,0,2.15,0,0,0
2010-07,60.13,32.19,6.52,0.94,0,0.06,0,0,0.17,0,0,0
2010-08,69.46,23.78,5.07,1.03,0,0.66,0,0,0.01,0,0,0
2010-09,59.04,35.42,4.62,0.83,0,0.08,0,0,0.02,0,0,0
2010-10,59.1,31.42,6.6,2.19,0.19,0.19,0,0,0.32,0,0,0
2010-11,56.04,29.76,11.92,1.74,0.26,0.02,0,0,0.23,0,0,0.02
2010-12,60.6,28.02,9.6,1.39,0.26,0.11,0,0,0,0,0,0.01
2011-01,62.25,27.19,8.52,1.97,0.02,0.04,0,0,0,0,0.01,0
2011-02,63.48,26.97,7.29,2.01,0,0.03,0,0,0.22,0,0,0
2011-03,62.2,25.83,9.2,2.66,0,0.05,0,0,0.05,0,0,0
2011-04,61.24,27.61,9.6,1.45,0,0.04,0,0.06,0,0,0,0
2011-05,58.83,29.9,8.65,2.57,0,0.05,0,0,0,0,0,0
2011-06,64.04,25.6,8.07,2.22,0,0.07,0,0,0,0,0,0
2011-07,63.63,26.94,7.08,2.33,0,0.03,0,0,0,0,0,0
2011-08,62.84,29.93,6.09,1.06,0,0,0.08,0,0,0,0,0
2011-09,65.1,24.92,7.29,2.65,0,0.01,0.02,0,0,0,0,0
2011-10,55.97,36.08,6.54,1.17,0,0.13,0.11,0,0,0,0,0
2011-11,84.08,12.12,2.79,0.63,0,0.04,0.33,0,0,0,0,0
2011-12,91.8,5.72,2.1,0.23,0,0.01,0.13,0,0,0,0,0
2012-01,90.37,6.9,2.34,0.26,0,0.01,0.11,0,0,0,0,0.01
2012-02,93.14,4.07,2.35,0.34,0,0.01,0.07,0,0,0,0,0.02
2012-03,88,7.36,3.92,0.63,0,0.07,0,0,0,0,0,0.01
2012-04,86.03,7.42,5.27,0.95,0,0.31,0,0,0,0,0,0.02
2012-05,85.83,8.28,4.9,0.8,0,0.1,0.06,0,0,0.01,0,0.03
2012-06,88.07,7.27,3.85,0.67,0,0.04,0.09,0,0,0,0.01,0.01
2012-07,86.46,7.91,4.63,0.66,0,0.05,0.21,0,0,0,0.07,0.01
2012-08,75,13.61,10.3,0.55,0,0.09,0.26,0,0,0,0.05,0.11
2012-09,62.63,18.92,16.42,1.57,0,0.34,0,0,0,0.07,0.04,0
2012-10,57.67,22.28,16.28,3.5,0,0.25,0,0,0,0,0.01,0
2012-11,55.3,24.92,17.33,2.01,0,0.32,0.04,0,0,0,0.07,0.01
2012-12,58.52,22.86,15.84,2.12,0,0.62,0.01,0,0,0,0.03,0
2013-01,58.68,21.71,17.18,1.7,0,0.3,0.38,0,0,0,0.01,0.04
2013-02,56.69,25.68,14.09,2.56,0,0.3,0.59,0.01,0,0.01,0.01,0.07
2013-03,51.42,26.52,16.65,4.88,0,0.12,0.29,0.06,0,0,0.04,0.02
2013-04,53.45,26.08,16.26,3.41,0,0.3,0.41,0,0,0,0.06,0.02
2013-05,52.46,25.62,17.74,3.81,0,0.15,0.06,0,0,0.07,0.06,0.02
2013-06,53.24,22.55,17.9,5.89,0,0.26,0.01,0.06,0,0,0.02,0.09
2013-07,48.89,24.27,20.95,5.65,0,0.11,0.02,0.04,0,0.01,0,0.06
2013-08,46.83,21.14,25.1,5.47,0,0.71,0.54,0.15,0,0,0.03,0.02
2013-09,44.56,26.68,21.41,6.02,0,0.64,0.34,0.26,0,0,0.01,0.06
2013-10,42.67,25.92,21.99,7.95,0,0.67,0.36,0.2,0,0,0.17,0.07
2013-11,40,24.73,23,10.53,0,0.68,0.42,0.24,0.32,0,0,0.09
2013-12,39.94,24.74,24.18,9.39,0.04,0.58,0.31,0.16,0.6,0,0,0.07
2014-01,43.39,24.19,24.19,6.83,0.01,0.5,0.41,0.3,0.04,0.03,0,0.1
2014-02,43.91,21.43,25.12,7.8,0.99,0.2,0.2,0.12,0,0.03,0,0.21
2014-03,40.84,18.29,31.3,7.89,1.16,0.16,0.19,0.11,0.01,0,0,0.04
2014-04,39.6,21.94,29.62,6.97,1.2,0.32,0.11,0.17,0.03,0,0,0.04
