"Date","Firefox","IE","Chrome","Safari","Opera","Android","Sony PS3","Maxthon","Chromium","Yandex Browser","Mozilla","AOL","360 Safe Browser","SeaMonkey","Silk","Iron","Netscape","Pale Moon","BlackBerry","Iceweasel","RockMelt","AppleWebKit","Other"
2008-07,35.52,58.19,0,2.37,3.69,0,0,0,0,0,0,0,0,0.07,0,0,0.04,0,0,0.04,0,0.01,0.07
2008-08,35.53,58.31,0,2.47,3.49,0,0,0,0,0,0,0,0,0.06,0,0,0.04,0,0,0.03,0,0.01,0.06
2008-09,33.77,56.35,1.04,2.45,6.2,0,0,0,0,0,0,0,0,0.06,0,0,0.04,0,0,0.02,0,0.01,0.05
2008-10,33.41,56.52,0.98,2.52,6.38,0,0,0,0,0,0,0,0,0.07,0,0,0.04,0,0,0.02,0,0.01,0.05
2008-11,33.74,55.08,0.91,2.3,7.77,0,0.02,0,0,0,0,0,0,0.06,0,0,0.03,0,0,0.02,0,0.01,0.06
2008-12,36.7,51.84,1.25,2.25,7.35,0,0.09,0,0,0,0.11,0.22,0,0.07,0,0,0.02,0,0,0.01,0,0.01,0.08
2009-01,37.71,50.48,1.38,2.3,7.25,0,0.1,0,0,0,0.2,0.38,0,0.07,0,0,0.03,0,0,0.01,0,0.01,0.08
2009-02,37.69,50.29,1.49,2.38,7.29,0,0.1,0,0,0,0.2,0.37,0,0.07,0,0,0.02,0,0,0.01,0,0.01,0.08
2009-03,38.54,49.13,1.73,2.43,7.34,0,0.1,0,0,0,0.2,0.34,0,0.07,0,0,0.02,0,0,0.01,0,0.01,0.07
2009-04,39.04,47.89,2.05,2.53,7.63,0,0.11,0,0,0,0.21,0.35,0,0.06,0,0,0.02,0,0,0.01,0,0.01,0.08
2009-05,38.59,46.65,2.49,2.52,8.75,0,0.11,0,0,0,0.41,0.3,0,0.07,0,0,0.02,0,0,0.01,0,0.01,0.08
2009-06,38.79,45.97,2.78,2.64,8.69,0,0.13,0,0,0,0.52,0.28,0,0.07,0,0,0.02,0,0,0.01,0,0.01,0.08
2009-07,39.7,46.69,3.05,2.81,6.84,0,0.15,0,0,0,0.26,0.3,0,0.07,0,0,0.02,0,0,0.01,0,0.02,0.07
2009-08,39.62,46.01,3.36,2.95,7.12,0,0.14,0,0,0,0.33,0.29,0,0.07,0,0,0.01,0,0,0.01,0,0.03,0.06
