"Date","IE","Chrome","Firefox","Safari","Opera","Android","Maxthon","360 Safe Browser","Sony PS3","Sogou Explorer","Mozilla","Chromium","QQ Browser","SeaMonkey","Pale Moon","RockMelt","Puffin","Iron","Camino","AppleWebKit","Flock","TheWorld","Other"
2008-07,66.15,0,28.16,4.54,1,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.02,0,0,0.11
2008-08,63.53,0,30.64,4.58,1.05,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0,0.14
2008-09,63.37,1.18,29.83,4.45,1,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.02,0,0,0.11
2008-10,63.06,1.27,29.76,4.82,0.9,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.03,0,0,0.13
2008-11,63.14,1.15,29.85,4.65,1.03,0,0,0,0.01,0,0,0,0,0.04,0,0,0,0,0,0.03,0.01,0,0.1
2008-12,62.93,1.55,29.46,4.65,0.98,0,0,0,0.05,0,0.09,0,0,0.04,0,0,0,0,0,0.03,0.03,0,0.19
2009-01,59.48,1.98,32.04,4.89,1.08,0,0,0,0.07,0,0.21,0,0,0.04,0,0,0,0,0,0.02,0.03,0,0.17
2009-02,59.52,2.02,31.86,5.09,1,0,0,0,0.06,0,0.21,0,0,0.04,0,0,0,0,0,0.03,0.03,0,0.15
2009-03,59.33,2.13,31.75,5.33,0.97,0,0,0,0.06,0,0.19,0,0,0.04,0,0,0,0,0,0.03,0.02,0,0.14
2009-04,58.39,2.44,32.16,5.61,0.95,0,0,0,0.07,0,0.18,0,0,0.03,0,0,0,0,0,0.03,0.02,0,0.12
2009-05,57.99,3.28,31.34,5.85,0.94,0,0,0,0.07,0,0.32,0,0,0.03,0,0,0,0,0,0.02,0.03,0,0.12
2009-06,56.09,4.24,31.73,6.24,0.98,0,0,0,0.06,0,0.44,0,0,0.03,0,0,0,0,0,0.03,0.04,0,0.11
2009-07,56.55,3.87,32.03,6.06,0.98,0,0,0,0.09,0,0.22,0,0,0.03,0,0,0,0,0,0.03,0.03,0,0.11
2009-08,55.47,4.27,32.5,6.34,0.93,0,0,0,0.07,0,0.27,0,0,0.03,0,0,0,0,0,0.02,0.02,0,0.08
